Ex;1;1;Eis os nomes dos filhos de Israel que vieram para o Egito com Jacó, cada um com sua família:
Ex;1;2;Rúben, Simeão, Levi, Judá,
Ex;1;3;Issacar, Zabulon, Benjamim,
Ex;1;4;Dă, Neftali, Gad e Aser.
Ex;1;5;Todas as pessoas saídas de Jacó eram em número de setenta. José estava já no Egito.
Ex;1;6;E, morto José, assim como todos os seus irmãos e toda aquela geração,
Ex;1;7;os israelitas foram fecundos e multiplicaram-se, tornaram-se tão numerosos e tão fortes, que a terra ficou repleta deles.
Ex;1;8;Entretanto, subiu ao trono do Egito um novo rei, que não tinha conhecido José.
Ex;1;9;Ele disse ao seu povo: “Vede: os israelitas tornaram-se numerosos e fortes demais para nós.
Ex;1;10;Vamos! É preciso tomar precaução contra eles e impedir que se multipliquem, para não acontecer que, sobrevindo uma guerra, se unam com os nossos inimigos e combatam contra nós, e se retirem do país”.
Ex;1;11;Estabeleceu, pois, sobre eles, feitores para acabrunhá-los com trabalhos penosos: eles construíram para o faraó as cidades de Pitom e Ramsés, que deviam servir de entreposto.
Ex;1;12;Quanto mais os oprimiam, porém, tanto mais eles se multiplicavam e se espalhavam, a ponto de os egípcios os aborrecerem.
Ex;1;13;Impunham-lhes a mais dura servidão,
Ex;1;14;e amarguravam-lhes a vida com duros trabalhos na argamassa e na fabricação de tijolos, bem como com toda a sorte de trabalhos nos campos e todas as tarefas que se lhes impunham tiranicamente.
Ex;1;15;O rei do Egito dirigiu-se, igualmente, às parteiras dos hebreus (uma se chamava Sefra e a outra, Fua),
Ex;1;16;e disse-lhes: “Quando assistirdes às mulheres dos hebreus, e as virdes sobre o leito, se for um filho, matai-o, mas se for uma filha, deixai-a viver””.*
Ex;1;17;Mas as parteiras temiam a Deus, e não executaram as ordens do rei do Egito, deixando viver os meninos.
Ex;1;18;O rei mandou-as chamar então e disse-lhes: “Por que agistes assim, e deixastes viver os meninos?”.
Ex;1;19;“Porque — responderam elas ao faraó — as mulheres dos hebreus não são como as dos egípcios: elas são vigorosas, e já dão à luz antes que chegue a parteira.”
Ex;1;20;Deus beneficiou as parteiras: o povo continuou a multiplicar-se e a espalhar-se.
Ex;1;21;Porque elas haviam temido a Deus, ele fez prosperar suas famílias.
Ex;1;22;Então o faraó deu esta ordem a todo o seu povo: “Todo menino que nascer, vós o atirareis ao Nilo. Deixareis, porém, viver todas as meninas”.
Ex;2;1;Um homem da casa de Levi tinha tomado por mulher uma filha de Levi,
Ex;2;2;que concebeu, e deu à luz um filho. Vendo que era formoso, escondeu-o durante três meses.
Ex;2;3;Mas, não podendo guardá-lo oculto por mais tempo, tomou uma cesta de junco, untou-a de betume e piche, colocou dentro o menino e depô-la à beira do rio, no meio dos caniços.
Ex;2;4;A irmã do menino ficou parada a alguma distância para ver o que lhe havia de acontecer.
Ex;2;5;Ora, a filha do faraó desceu ao rio para se banhar, enquanto suas criadas passeavam à beira do rio. Ela viu a cesta no meio dos juncos e mandou uma de suas criadas buscá-la.
Ex;2;6;Abriu-a e viu dentro o menino que chorava. E compadeceu-se: “É um filho dos hebreus” — disse ela.
Ex;2;7;Veio então a irmã do menino e disse à filha do faraó: “Queres que vá procurar entre as mulheres dos hebreus uma ama de leite para amamentar o menino?”.
Ex;2;8;“Sim? — disse a filha do faraó —. E a moça correu a buscar a mãe do menino.
Ex;2;9;“Toma este menino — disse-lhe a filha do faraó — amamenta-o, te darei o teu salário.” A mulher tomou o menino e o amamentou.
Ex;2;10;Quando o menino cresceu, ela o conduziu à filha do faraó, que o adotou como seu filho e deu-lhe o nome de Moisés, “porque — disse ela — eu o salvei das águas”. *
Ex;2;11;Moisés cresceu. Um dia em que saíra por acaso para ir ter com os seus irmãos, foi testemunha de seus duros trabalhos, e viu um egípcio ferindo um hebreu dentre seus irmãos.
Ex;2;12;Moisés, voltando-se para um e outro lado e vendo que não havia ali ninguém, matou o egípcio e ocultou-o na areia.
Ex;2;13;Saindo de novo no dia seguinte, viu dois hebreus que estavam brigando. E disse ao culpado: “Por que feres o teu companheiro?”.
Ex;2;14;Mas o homem respondeu-lhe: “Quem te constituiu chefe e juiz sobre nós? Queres, porventura, matar-me como mataste o egípcio?”. Moisés teve medo e pensou: “Certamente a coisa já é conhecida”.
Ex;2;15;O faraó, sabendo do ocorrido, procurou matar Moisés, mas este fugiu para longe do faraó. Retirou-se para a terra de Madiã, e sentou-se junto de um poço.
Ex;2;16;Ora, as sete filhas do sacerdote de Madiã vieram tirar água do poço e encher as gamelas para dar de beber às ovelhas de seu pai.
Ex;2;17;Sobrevindo então alguns pastores, as expulsavam. Moisés, porém, tomou sua defesa e deu de beber ao seu rebanho.
Ex;2;18;E, voltando elas para junto de Raguel, seu pai, este disse-lhes: “Por que voltais hoje tão cedo?”.
Ex;2;19;Elas responderam: “Um egípcio nos protegeu contra alguns pastores e, além disso, tirou água ele mesmo e deu de beber aos animais”.
Ex;2;20;“Onde está ele? — perguntou às suas filhas —. Por que o deixastes partir? Chamai-o para que coma alguma coisa.”
Ex;2;21;Moisés aceitou ficar em casa desse homem, o qual lhe deu por mulher sua filha Sefra.
Ex;2;22;Ela teve um filho, que Moisés chamou de Gérson, “porque — disse ele — sou apenas um hóspede em terra estrangeira”.*
Ex;2;23;Muito tempo depois, morreu o rei do Egito. Os israelitas, que gemiam ainda sob o peso da servidão, clamaram, e, do fundo de sua escravidão, subiu o seu clamor até Deus.
Ex;2;24;Deus ouviu seus gemidos e lembrou-se de sua aliança com Abraão, Isaac e Jacó.
Ex;2;25;Olhou para os israelitas e reconheceu-os.
Ex;3;1;Moisés apascentava o rebanho de Jetro, seu sogro, sacerdote de Madiã. Um dia em que conduzira o rebanho para além do deserto, chegou até a montanha de Deus, Horeb.
Ex;3;2;O anjo do Senhor apareceu-lhe numa chama (que saía) do meio a uma sarça. Moisés olhava: a sarça ardia, mas não se consumia.*
Ex;3;3;“Vou me aproximar — disse ele consigo — para contemplar esse extraordinário espetáculo, e saber por que a sarça não se consome.”
Ex;3;4;Vendo o Senhor que ele se aproximou para ver, chamou-o do meio da sarça: “Moisés, Moisés!”. “Eis-me aqui!” — respondeu ele.
Ex;3;5;E Deus: “Não te aproximes daqui. Tira as sandálias dos teus pés, porque o lugar em que te encontras é uma terra santa.
Ex;3;6;Eu sou — ajuntou ele — o Deus de teu pai, o Deus de Abraão, o Deus de Isaac e o Deus de Jacó”. Moisés escondeu o rosto, e não ousava olhar para Deus.*
Ex;3;7;O Senhor disse: “Eu vi, eu vi a aflição de meu povo que está no Egito, e ouvi os seus clamores por causa de seus opressores. Sim, eu conheço seus sofrimentos.
Ex;3;8;E desci para livrá-lo da mão dos egípcios e para fazê-lo subir do Egito para uma terra fértil e espaçosa, uma terra que mana leite e mel, lá onde habitam os cananeus, os hiteus, os amorreus, os ferezeus, os heveus e os jebuseus.
Ex;3;9;Agora, eis que os clamores dos israelitas chegaram até mim, e vi a opressão que lhes fazem os egípcios.
Ex;3;10;Vai, eu te envio ao faraó para tirar do Egito os israelitas, meu povo”.
Ex;3;11;Moisés disse a Deus: “Quem sou eu para ir ter com o faraó e tirar do Egito os israelitas?”?.
Ex;3;12;“Eu estarei contigo — respondeu Deus —:, e eis aqui um sinal de que sou eu que te envio: quando tiveres tirado o povo do Egito, servireis a Deus sobre esta montanha.”
Ex;3;13;Moisés disse a Deus: “Quando eu for para junto dos israelitas e lhes disser que o Deus de seus pais me enviou a eles, que lhes responderei se me perguntarem qual é o seu nome??.
Ex;3;14;Deus respondeu a Moisés: “Eu sou aquele que sou”. E ajuntou: “Eis como responderás aos israelitas: (Aquele que se chama) “Eu sou” envia-me junto de vós”.*
Ex;3;15;Deus disse ainda a Moisés: “Assim falarás aos israelitas: É Javé, o Deus de vossos pais, o Deus de Abraão, o Deus de Isaac e o Deus de Jacó, quem me envia para junto de vós. Esse é o meu nome para sempre, e é assim que me chamarão de geração em geração”.
Ex;3;16;“Vai, reúne os anciãos de Israel e dize-lhes: O Senhor, o Deus de vossos pais, o Deus de Abraão, de Isaac e de Jacó apareceu-me. E disse-me: eu vos visitei, e vi o que se vos faz no Egito,
